;Host Since;Host Response Rate;Host Verifications;Neighbourhood Group Cleansed;Longitude;Room Type;Accommodates;Bathrooms;Bedrooms;Amenities;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 30;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Calculated host listings count;Reviews per Month;Features
236;2016-01-03;100.0;email,phone,reviews;Salamanca;-3.6832954186332882;Entire home/apt;4;1.0;2.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Dryer,Fire extinguisher,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;95.0;;50.0;1;0;4;32;90.0;9.0;9.0;9.0;9.0;10.0;9.0;strict;1.0;2.99;Host Has Profile Pic,Requires License,Instant Bookable
2645;2013-01-12;100.0;email,phone,reviews,jumio,work_email;Moncloa - Aravaca;-3.7119718804472965;Entire home/apt;4;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Smoke detector,Carbon monoxide detector,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;105.0;;;1;0;11;7;94.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;6.0;0.19;Host Has Profile Pic,Host Identity Verified,Requires License,Instant Bookable
11936;2016-08-18;100.0;email,phone,reviews;Tetuán;-3.6922739197181187;Entire home/apt;4;1.0;2.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;76.0;234.0;59.0;1;12;6;4;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.0;1.76;Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable
12451;2016-10-16;100.0;email,phone,reviews;Salamanca;-3.6754916138138523;Private room;2;1.0;1.0;TV,Wireless Internet,Kitchen,Gym,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;33.0;100.0;10.0;1;10;4;26;98.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;3.0;4.76;Host Is Superhost,Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable
2309;2013-04-10;100.0;email,phone,reviews;Centro;-3.710505528953216;Entire home/apt;3;1.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;45.0;100.0;20.0;2;15;1;31;85.0;9.0;9.0;9.0;9.0;10.0;9.0;moderate;2.0;4.45;Host Has Profile Pic,Requires License,Instant Bookable,Require Guest Phone Verification
7128;2016-06-14;100.0;email,phone,facebook,reviews;Usera;-3.692493003897965;Private room;2;1.0;1.0;TV,Wireless Internet,Kitchen,Free parking on premises,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Laptop friendly workspace;19.0;;10.0;1;0;18;24;93.0;10.0;10.0;9.0;9.0;9.0;9.0;strict;3.0;3.56;Host Has Profile Pic,Requires License,Instant Bookable
903;2014-09-17;100.0;email,phone,reviews,jumio;Centro;-3.696389286824018;Entire home/apt;5;1.0;2.0;TV,Internet,Wireless Internet,Kitchen,Heating,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;75.0;;40.0;2;10;4;88;95.0;10.0;9.0;10.0;10.0;10.0;9.0;moderate;1.0;2.95;Host Is Superhost,Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
2924;2015-07-12;100.0;email,phone,reviews,jumio,offline_government_id,government_id;Centro;-3.7116742868563577;Entire home/apt;3;1.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,translation missing: en.hosting_amenity_50;50.0;;20.0;2;15;6;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;2.0;0.21;Host Is Superhost,Host Has Profile Pic,Host Identity Verified,Requires License,Instant Bookable
13674;2016-10-25;44.0;email,phone,google,reviews,jumio,government_id;Puente de Vallecas;-3.6731819070402985;Shared room;2;1.0;1.0;Wireless Internet,Kitchen,Smoking allowed,Breakfast,Elevator in building,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,translation missing: en.hosting_amenity_50;12.0;;;1;10;29;0;;;;;;;;flexible;1.0;;Host Has Profile Pic,Host Identity Verified,Requires License
47;2014-08-25;100.0;email,phone,reviews;Salamanca;-3.6760962311072474;Entire home/apt;3;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;60.0;;;2;15;1;72;96.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.0;2.36;Host Is Superhost,Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable
7199;2015-07-27;100.0;email,phone,reviews;San Blas - Canillejas;-3.6233647264851663;Entire home/apt;4;1.5;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Smoke detector,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;59.0;100.0;40.0;3;0;2;42;90.0;10.0;10.0;9.0;9.0;8.0;9.0;strict;3.0;2.23;Host Has Profile Pic,Requires License
373;2015-07-03;100.0;email,phone,reviews;Centro;-3.69988695663152;Private room;2;1.0;1.0;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo;45.0;;;1;0;10;76;95.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.0;3.98;Host Is Superhost,Host Has Profile Pic,Requires License
10684;2015-02-12;80.0;email,phone,reviews;Chamberí;-3.7089089021075963;Private room;2;1.5;2.0;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Doorman Entry;60.0;;20.0;1;0;21;0;;;;;;;;strict;1.0;;Host Has Profile Pic,Requires License
4336;2014-04-06;92.0;email,phone,reviews;Salamanca;-3.676195875529004;Entire home/apt;4;2.0;2.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;125.0;;40.0;1;0;15;46;96.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.0;2.5;Host Has Profile Pic,Is Location Exact,Requires License
3032;2014-05-15;100.0;email,phone,reviews,jumio;Centro;-3.6941050370100563;Entire home/apt;4;1.0;2.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Essentials,Shampoo,Hangers,Hair dryer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;75.0;120.0;20.0;2;15;1;14;95.0;9.0;10.0;10.0;10.0;10.0;9.0;moderate;2.0;1.38;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable
456;2010-06-10;100.0;email,phone,reviews,jumio,offline_government_id,government_id;Centro;-3.700486319257282;Entire home/apt;4;2.0;2.0;TV,Internet,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;90.0;200.0;50.0;1;0;6;32;94.0;9.0;10.0;9.0;10.0;10.0;9.0;strict;4.0;3.06;Host Has Profile Pic,Host Identity Verified,Requires License,Instant Bookable
1547;2015-02-20;100.0;email,phone,reviews,jumio;Centro;-3.7031237098413072;Entire home/apt;2;1.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;115.0;400.0;70.0;1;0;11;8;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;37.0;1.15;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
10392;2013-07-02;100.0;email,phone,reviews,jumio;Centro;-3.7054673977160055;Entire home/apt;6;1.0;2.0;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;120.0;;40.0;4;15;17;55;86.0;9.0;8.0;9.0;9.0;10.0;9.0;strict;3.0;1.86;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
2482;2016-11-09;100.0;email,phone,reviews;Centro;-3.7029144288700255;Private room;1;1.0;1.0;Family/kid friendly;26.0;;;1;0;0;0;;;;;;;;strict;1.0;;Host Has Profile Pic,Requires License
13184;2012-11-07;94.0;email,phone,reviews,jumio;Centro;-3.7092432139532434;Entire home/apt;3;1.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron;75.0;200.0;25.0;2;20;12;15;91.0;10.0;10.0;10.0;10.0;10.0;9.0;strict;12.0;2.39;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable
3042;2014-12-28;100.0;email,phone,reviews;Centro;-3.6995080939896985;Entire home/apt;4;1.0;2.0;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace,Private entrance;55.0;;;2;10;0;0;;;;;;;;moderate;2.0;;Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable
11784;2017-02-07;75.0;email,phone,facebook,jumio,offline_government_id,government_id;Arganzuela;-3.694931197712799;Private room;1;1.0;1.0;Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Heating,Washer,First aid kit,Fire extinguisher,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;19.0;;;1;0;28;0;;;;;;;;flexible;1.0;;Host Has Profile Pic,Host Identity Verified,Requires License
3992;2014-04-07;67.0;email,phone,reviews,jumio;Latina;-3.7237381473993834;Private room;3;1.0;1.0;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Family/kid friendly,Essentials;30.0;;;1;15;5;7;94.0;9.0;9.0;9.0;10.0;9.0;9.0;flexible;2.0;0.25;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
153;2015-08-18;100.0;email,phone,reviews,jumio;Barajas;-3.5781380193278176;Private room;1;0.5;1.0;TV,Wireless Internet,Air conditioning,Free parking on premises,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Fire extinguisher,Essentials,Shampoo;45.0;;;1;10;0;32;90.0;9.0;10.0;10.0;10.0;9.0;9.0;flexible;15.0;1.68;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
11216;2014-09-24;;email,phone,reviews,jumio;Chamberí;-3.7081727883029103;Entire home/apt;4;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;250.0;;;1;0;30;0;;;;;;;;flexible;1.0;;Host Has Profile Pic,Host Identity Verified,Requires License
8899;2015-04-13;100.0;email,phone,reviews,jumio,government_id;Ciudad Lineal;-3.655647593766213;Private room;2;1.0;1.0;Wireless Internet,Kitchen,Heating,Washer,Essentials,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;20.0;;;1;0;6;22;96.0;10.0;10.0;10.0;10.0;9.0;10.0;moderate;1.0;3.07;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
12906;2015-06-20;;email,phone,facebook;Salamanca;-3.676419859794229;Entire home/apt;3;1.0;2.0;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron;60.0;;;1;0;0;0;;;;;;;;flexible;1.0;;Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable
3857;2014-05-27;100.0;email,phone,reviews,manual_offline,jumio;Retiro;-3.6703220692566734;Entire home/apt;4;2.0;2.0;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Pool,Kitchen,Free parking on premises,Doorman,Gym,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance;140.0;;15.0;4;20;6;15;97.0;10.0;10.0;9.0;10.0;10.0;9.0;moderate;1.0;1.32;Host Has Profile Pic,Host Identity Verified,Requires License,Instant Bookable
8809;2015-07-10;100.0;email,phone,reviews,jumio;Arganzuela;-3.6950753632960134;Private room;2;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Pets live on this property,Cat(s),Elevator in building,Indoor fireplace,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo;39.0;150.0;10.0;1;15;3;115;96.0;10.0;9.0;10.0;10.0;10.0;10.0;moderate;8.0;6.31;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
10562;2017-02-20;100.0;email,phone,reviews;Carabanchel;-3.707290372237857;Private room;1;1.0;1.0;TV,Kitchen,Smoking allowed,Breakfast,Elevator in building,Heating,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;19.0;;;1;0;29;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.0;0.75;Host Has Profile Pic,Requires License
14064;2016-08-19;100.0;phone,google;Chamartín;-3.67723218236162;Entire home/apt;4;1.0;2.0;TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;90.0;250.0;48.0;4;32;8;1;100.0;10.0;10.0;10.0;10.0;8.0;10.0;flexible;1.0;1.0;Host Has Profile Pic,Requires License,Instant Bookable
3097;2014-07-21;100.0;email,phone,reviews,jumio;Centro;-3.7036685475403055;Private room;2;2.0;1.0;Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;20.0;;10.0;2;10;0;127;86.0;9.0;8.0;9.0;9.0;10.0;9.0;strict;7.0;4.29;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
8282;2016-12-30;70.0;email,phone,facebook,government_id;Centro;-3.6992262845583905;Private room;2;1.0;1.0;Smoking allowed,Pets allowed,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;50.0;;;1;0;30;0;;;;;;;;flexible;1.0;;Host Has Profile Pic,Requires License
12115;2016-11-08;95.0;email,phone,reviews;Arganzuela;-3.708525421918055;Private room;2;1.5;1.0;Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace;32.0;100.0;;1;10;7;6;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;3.0;1.51;Host Is Superhost,Host Has Profile Pic,Requires License
9066;2016-04-19;;email,phone,facebook,reviews;Moncloa - Aravaca;-3.72144017889096;Entire home/apt;5;2.5;3.0;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;200.0;;;1;0;0;0;;;;;;;;flexible;1.0;;Host Has Profile Pic,Is Location Exact,Requires License
3291;2014-06-27;100.0;email,phone,reviews,jumio,offline_government_id,government_id;Chamberí;-3.6956922917245687;Entire home/apt;3;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_50,Self Check-In,Doorman Entry;100.0;;25.0;1;0;2;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.0;1.0;Host Has Profile Pic,Host Identity Verified,Requires License
9511;2014-05-06;100.0;email,phone,reviews;Ciudad Lineal;-3.6566947784801327;Entire home/apt;6;1.0;3.0;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer;80.0;;30.0;4;15;9;21;96.0;9.0;9.0;10.0;10.0;8.0;9.0;flexible;1.0;0.61;Host Has Profile Pic,Is Location Exact,Requires License
11351;2016-11-06;100.0;email,phone,facebook,reviews;Ciudad Lineal;-3.652324962189173;Entire home/apt;7;2.0;3.0;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;70.0;;30.0;2;10;14;5;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.0;1.19;Host Has Profile Pic,Requires License
1722;2014-04-08;80.0;email,phone,reviews,jumio;Retiro;-3.675346719594757;Private room;1;1.0;1.0;TV,Wireless Internet,Kitchen,Free parking on premises,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo;23.0;250.0;15.0;1;0;0;8;88.0;9.0;9.0;9.0;9.0;10.0;10.0;moderate;3.0;0.43;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
11221;2017-02-14;100.0;email,phone,reviews;Tetuán;-3.699543162907;Entire home/apt;3;1.0;0.0;TV,Air conditioning,Kitchen,Family/kid friendly,Washer,Essentials,Shampoo,Hangers;35.0;;;1;0;9;6;90.0;9.0;9.0;10.0;10.0;9.0;10.0;flexible;1.0;4.5;Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable
822;2014-05-08;100.0;email,phone,reviews,work_email;Centro;-3.7062114036414266;Private room;1;2.0;1.0;TV,Wireless Internet,Kitchen,Smoking allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Lock on bedroom door,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Bathtub;20.0;;15.0;1;5;0;0;;;;;;;;strict;97.0;;Host Has Profile Pic,Is Location Exact,Requires License
7749;2014-08-10;100.0;email,phone,reviews,jumio;Salamanca;-3.675611122315871;Private room;2;1.0;1.0;TV,Internet,Wireless Internet,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials;17.0;;12.0;1;8;0;61;83.0;9.0;9.0;9.0;9.0;10.0;9.0;moderate;6.0;2.49;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable
12801;2012-02-18;100.0;email,phone,reviews,jumio;Centro;-3.69905566240146;Entire home/apt;2;1.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;85.0;150.0;50.0;1;0;15;0;;;;;;;;flexible;2.0;;Host Has Profile Pic,Host Identity Verified,Requires License
2644;2017-02-23;;email,phone;Moncloa - Aravaca;-3.7162053580098986;Entire home/apt;3;1.0;2.0;TV,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron,Private entrance,Baby bath,Room-darkening shades;95.0;200.0;5.0;3;0;12;0;;;;;;;;moderate;1.0;;Host Has Profile Pic,Is Location Exact,Requires License
14318;2015-04-11;100.0;email,phone,reviews;Centro;-3.710854098898605;Private room;2;2.0;1.0;TV,Wireless Internet,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_50;30.0;;5.0;1;15;9;120;94.0;9.0;10.0;10.0;10.0;10.0;9.0;moderate;3.0;5.01;Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable
399;2014-02-18;100.0;email,phone,reviews,jumio;Centro;-3.7006605808216992;Private room;2;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hair dryer;28.0;;;1;10;11;24;88.0;9.0;8.0;9.0;10.0;10.0;9.0;moderate;1.0;0.96;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable
6498;2015-02-11;;email,phone,reviews,jumio;Centro;-3.7049451204192567;Private room;1;2.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49;20.0;;;1;0;0;0;;;;;;;;flexible;1.0;;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
2043;2015-03-29;100.0;email,phone,facebook,reviews;Centro;-3.70504708410768;Private room;2;1.0;1.0;Wireless Internet,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_50;20.0;;;1;0;2;3;90.0;9.0;9.0;10.0;10.0;10.0;10.0;flexible;1.0;0.79;Host Has Profile Pic,Is Location Exact,Requires License
13755;2016-03-23;100.0;email,phone,reviews,jumio,government_id;Centro;-3.699834797548711;Entire home/apt;2;1.0;0.0;Kitchen,Family/kid friendly,Essentials,Shampoo,Hangers,Hair dryer,translation missing: en.hosting_amenity_50;30.0;;20.0;1;0;5;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.0;1.0;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable
3266;2016-03-16;80.0;phone,reviews;Carabanchel;-3.734304387926856;Private room;3;1.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Heating,Washer,Smoke detector,First aid kit;19.0;;5.0;1;10;8;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;2.0;0.39;Host Has Profile Pic,Requires License
2391;2015-07-27;100.0;email,phone,facebook,reviews,jumio;Centro;-3.7003387811572863;Entire home/apt;3;1.0;1.0;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Washer,Essentials,Shampoo,Hangers;45.0;;;2;10;0;33;84.0;9.0;8.0;10.0;10.0;10.0;8.0;flexible;1.0;4.09;Host Has Profile Pic,Host Identity Verified,Requires License,Instant Bookable
4645;2014-07-31;100.0;email,phone,reviews,jumio;Salamanca;-3.6712819080088535;Private room;2;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets live on this property,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials;40.0;200.0;10.0;1;15;18;12;88.0;10.0;10.0;10.0;10.0;9.0;9.0;strict;2.0;0.62;Host Has Profile Pic,Host Identity Verified,Requires License
11178;2010-06-27;98.0;email,phone,reviews;Centro;-3.7060650945779714;Entire home/apt;6;1.5;2.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Indoor fireplace,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;125.0;;45.0;4;15;9;223;93.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;9.0;4.06;Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable
8509;2016-07-17;100.0;email,phone,facebook,google,reviews,jumio,government_id;Carabanchel;-3.7407038639377976;Private room;3;1.0;1.0;TV,Wireless Internet,Pool,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Breakfast,Elevator in building,Hot tub,Heating,Family/kid friendly,Suitable for events,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;29.0;;8.0;1;10;15;4;70.0;8.0;9.0;9.0;9.0;9.0;7.0;moderate;16.0;0.47;Host Has Profile Pic,Host Identity Verified,Requires License,Instant Bookable
6127;2014-07-23;100.0;email,phone,reviews;Arganzuela;-3.689577564233992;Private room;1;1.0;1.0;TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;25.0;100.0;;1;5;23;8;90.0;9.0;8.0;9.0;9.0;9.0;9.0;moderate;1.0;0.25;Host Has Profile Pic,Is Location Exact,Requires License
10966;2016-07-26;100.0;email,phone,reviews,jumio,government_id;Centro;-3.7059161477408873;Entire home/apt;3;1.0;0.0;TV,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_50;40.0;100.0;20.0;2;5;5;28;89.0;10.0;9.0;9.0;10.0;10.0;9.0;moderate;4.0;4.62;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable
12687;2013-12-30;;email,phone,reviews,jumio;Centro;-3.721612879588009;Entire home/apt;6;1.0;2.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer;50.0;150.0;;1;10;0;16;86.0;9.0;9.0;9.0;9.0;8.0;8.0;flexible;2.0;0.43;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
9244;2015-08-22;100.0;email,phone,reviews;Centro;-3.70570746917655;Entire home/apt;4;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Iron;60.0;;10.0;1;0;14;3;93.0;9.0;8.0;9.0;10.0;10.0;9.0;flexible;1.0;0.69;Host Has Profile Pic,Requires License
